"user_id","pay_date","amount","region","platform","cohort_month","cohort_index"
1,"2023-07-09",10,Asia,Android,"2023-07-09",0
1,"2023-08-08",10,Asia,Android,"2023-07-09",1
1,"2023-09-07",10,Asia,Android,"2023-07-09",2
1,"2023-10-07",10,Asia,Android,"2023-07-09",3
1,"2023-11-06",10,Asia,Android,"2023-07-09",4
1,"2023-12-06",10,Asia,Android,"2023-07-09",5
2,"2023-04-02",10,North America,Android,"2023-04-02",0
2,"2023-05-02",10,North America,Android,"2023-04-02",1
2,"2023-06-01",10,North America,Android,"2023-04-02",2
2,"2023-07-01",10,North America,Android,"2023-04-02",3
2,"2023-07-31",10,North America,Android,"2023-04-02",3
2,"2023-08-30",10,North America,Android,"2023-04-02",4
2,"2023-09-29",10,North America,Android,"2023-04-02",5
2,"2023-10-29",10,North America,Android,"2023-04-02",6
2,"2023-11-28",10,North America,Android,"2023-04-02",7
3,"2023-07-14",10,North America,Web,"2023-07-14",0
3,"2023-08-13",10,North America,Web,"2023-07-14",1
3,"2023-09-12",10,North America,Web,"2023-07-14",2
3,"2023-10-12",10,North America,Web,"2023-07-14",3
3,"2023-11-11",10,North America,Web,"2023-07-14",4
4,"2023-07-05",10,Europe,Android,"2023-07-05",0
4,"2023-08-04",10,Europe,Android,"2023-07-05",1
4,"2023-09-03",10,Europe,Android,"2023-07-05",2
4,"2023-10-03",10,Europe,Android,"2023-07-05",3
4,"2023-11-02",10,Europe,Android,"2023-07-05",4
4,"2023-12-02",10,Europe,Android,"2023-07-05",5
5,"2023-07-16",10,North America,Web,"2023-07-16",0
6,"2023-02-23",10,Asia,iOS,"2023-02-23",0
6,"2023-03-25",10,Asia,iOS,"2023-02-23",1
6,"2023-04-24",10,Asia,iOS,"2023-02-23",2
6,"2023-05-24",10,Asia,iOS,"2023-02-23",3
6,"2023-06-23",10,Asia,iOS,"2023-02-23",4
6,"2023-07-23",10,Asia,iOS,"2023-02-23",5
7,"2023-04-27",10,Europe,Android,"2023-04-27",0
7,"2023-05-27",10,Europe,Android,"2023-04-27",1
7,"2023-06-26",10,Europe,Android,"2023-04-27",2
7,"2023-07-26",10,Europe,Android,"2023-04-27",3
7,"2023-08-25",10,Europe,Android,"2023-04-27",4
7,"2023-09-24",10,Europe,Android,"2023-04-27",5
8,"2023-03-16",10,Europe,Android,"2023-03-16",0
8,"2023-04-15",10,Europe,Android,"2023-03-16",1
8,"2023-05-15",10,Europe,Android,"2023-03-16",2
8,"2023-06-14",10,Europe,Android,"2023-03-16",3
8,"2023-07-14",10,Europe,Android,"2023-03-16",4
8,"2023-08-13",10,Europe,Android,"2023-03-16",5
9,"2023-07-10",10,Asia,iOS,"2023-07-10",0
9,"2023-08-09",10,Asia,iOS,"2023-07-10",1
9,"2023-09-08",10,Asia,iOS,"2023-07-10",2
9,"2023-10-08",10,Asia,iOS,"2023-07-10",3
